Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
01/02/18 00:00,000000001415,1,NE_NS,1,NorthEast,75,0,,16252,120,2,63,0,6,3,1
01/02/18 00:00,000000001415,2,NE_OS,1,NorthEast,122,0,,16113,33,5,112,1,4,0,0
01/02/18 00:00,000000001415,3,SW,2,SouthWest,208,0,,17556,216,0,163,0,45,0,0
01/02/18 01:00,000000001415,1,NE_NS,1,NorthEast,31,0,,17240,65,3,26,0,2,0,0
01/02/18 01:00,000000001415,2,NE_OS,1,NorthEast,105,0,,17339,29,3,99,0,2,1,0
01/02/18 01:00,000000001415,3,SW,2,SouthWest,133,0,,18221,248,0,100,0,30,3,0
01/02/18 02:00,000000001415,1,NE_NS,1,NorthEast,24,0,,16933,125,2,19,0,2,1,0
01/02/18 02:00,000000001415,2,NE_OS,1,NorthEast,52,0,,16977,58,2,47,0,1,2,0
01/02/18 02:00,000000001415,3,SW,2,SouthWest,74,0,,18949,216,0,57,1,15,1,0
01/02/18 03:00,000000001415,1,NE_NS,1,NorthEast,45,0,,17630,178,3,33,1,6,2,0
01/02/18 03:00,000000001415,2,NE_OS,1,NorthEast,52,0,,18098,96,1,46,0,4,1,0
01/02/18 03:00,000000001415,3,SW,2,SouthWest,103,0,,18803,223,0,80,0,20,3,0
01/02/18 04:00,000000001415,1,NE_NS,1,NorthEast,39,0,,17137,128,1,33,0,4,1,0
01/02/18 04:00,000000001415,2,NE_OS,1,NorthEast,58,0,,17658,121,5,46,0,6,1,0
01/02/18 04:00,000000001415,3,SW,2,SouthWest,121,0,,18662,215,0,93,1,21,5,1
01/02/18 05:00,000000001415,1,NE_NS,1,NorthEast,120,0,,17183,133,0,104,0,13,3,0
01/02/18 05:00,000000001415,2,NE_OS,1,NorthEast,85,0,,18909,47,1,80,0,3,1,0
01/02/18 05:00,000000001415,3,SW,2,SouthWest,324,0,,18570,173,0,265,0,48,8,3
01/02/18 06:00,000000001415,1,NE_NS,1,NorthEast,392,0,,15028,105,5,345,0,24,17,1
01/02/18 06:00,000000001415,2,NE_OS,1,NorthEast,334,0,,15737,66,7,304,0,18,4,1
01/02/18 06:00,000000001415,3,SW,2,SouthWest,780,0,,15840,169,1,640,1,120,12,6
01/02/18 07:00,000000001415,1,NE_NS,1,NorthEast,796,0,,10808,90,9,711,2,49,23,1
01/02/18 07:00,000000001415,2,NE_OS,1,NorthEast,672,0,,11259,54,8,621,4,28,8,2
01/02/18 07:00,000000001415,3,SW,2,SouthWest,1254,0,,13424,137,10,1068,3,150,22,0
01/02/18 08:00,000000001415,1,NE_NS,1,NorthEast,842,0,,7385,105,7,741,4,61,27,1
01/02/18 08:00,000000001415,2,NE_OS,1,NorthEast,744,0,,6525,94,19,645,3,52,18,4
01/02/18 08:00,000000001415,3,SW,2,SouthWest,1380,0,,12792,112,4,1214,6,141,13,2
01/02/18 09:00,000000001415,1,NE_NS,1,NorthEast,694,0,,10207,98,6,613,2,45,23,2
01/02/18 09:00,000000001415,2,NE_OS,1,NorthEast,658,0,,11415,85,11,586,1,47,9,2
01/02/18 09:00,000000001415,3,SW,2,SouthWest,1109,0,,14385,156,4,925,3,149,24,3
01/02/18 10:00,000000001415,1,NE_NS,1,NorthEast,513,0,,13521,138,6,436,0,62,9,0
01/02/18 10:00,000000001415,2,NE_OS,1,NorthEast,499,0,,14524,80,11,444,2,38,2,2
01/02/18 10:00,000000001415,3,SW,2,SouthWest,827,0,,14735,222,2,636,2,160,24,3
01/02/18 11:00,000000001415,1,NE_NS,1,NorthEast,536,0,,13528,142,8,446,3,62,14,3
01/02/18 11:00,000000001415,2,NE_OS,1,NorthEast,489,0,,14669,76,9,438,3,32,5,2
01/02/18 11:00,000000001415,3,SW,2,SouthWest,845,0,,14718,244,0,637,2,173,33,0
01/02/18 12:00,000000001415,1,NE_NS,1,NorthEast,561,0,,13692,111,10,487,0,56,6,2
01/02/18 12:00,000000001415,2,NE_OS,1,NorthEast,427,0,,15311,52,11,392,0,20,2,2
01/02/18 12:00,000000001415,3,SW,2,SouthWest,953,0,,14486,210,1,747,1,182,18,3
01/02/18 13:00,000000001415,1,NE_NS,1,NorthEast,572,0,,13514,124,10,491,0,58,13,0
01/02/18 13:00,000000001415,2,NE_OS,1,NorthEast,460,0,,14885,63,11,420,0,27,2,0
01/02/18 13:00,000000001415,3,SW,2,SouthWest,921,0,,15213,185,1,745,1,151,19,4
01/02/18 14:00,000000001415,1,NE_NS,1,NorthEast,589,0,,13372,97,11,519,0,45,12,1
01/02/18 14:00,000000001415,2,NE_OS,1,NorthEast,489,0,,14936,49,15,449,1,23,1,0
01/02/18 14:00,000000001415,3,SW,2,SouthWest,1057,0,,15011,187,2,855,2,172,26,0
01/02/18 15:00,000000001415,1,NE_NS,1,NorthEast,624,0,,11719,101,9,547,1,53,10,2
01/02/18 15:00,000000001415,2,NE_OS,1,NorthEast,508,0,,13834,69,5,468,0,33,2,0
01/02/18 15:00,000000001415,3,SW,2,SouthWest,1095,0,,14442,183,3,886,3,175,25,2
01/02/18 16:00,000000001415,1,NE_NS,1,NorthEast,283,0,,4000,173,22,206,2,19,30,1
01/02/18 16:00,000000001415,2,NE_OS,1,NorthEast,692,0,,7368,81,18,613,3,45,11,2
01/02/18 16:00,000000001415,3,SW,2,SouthWest,1178,0,,12437,126,9,1015,4,135,14,1
01/02/18 17:00,000000001415,1,NE_NS,1,NorthEast,621,0,,8377,90,4,546,6,37,19,1
01/02/18 17:00,000000001415,2,NE_OS,1,NorthEast,621,0,,10674,31,5,594,2,13,6,1
01/02/18 17:00,000000001415,3,SW,2,SouthWest,1163,0,,13061,85,2,1056,2,89,10,4
01/02/18 18:00,000000001415,1,NE_NS,1,NorthEast,626,0,,11493,35,11,588,0,15,7,4
01/02/18 18:00,000000001415,2,NE_OS,1,NorthEast,557,0,,13037,34,8,527,0,17,2,2
01/02/18 18:00,000000001415,3,SW,2,SouthWest,1104,0,,13949,78,1,1015,2,83,3,0
01/02/18 19:00,000000001415,1,NE_NS,1,NorthEast,499,0,,13619,18,6,478,0,9,0,5
01/02/18 19:00,000000001415,2,NE_OS,1,NorthEast,406,0,,14534,30,9,384,0,11,1,1
01/02/18 19:00,000000001415,3,SW,2,SouthWest,823,0,,14977,98,5,733,1,78,3,3
01/02/18 20:00,000000001415,1,NE_NS,1,NorthEast,390,0,,13585,23,10,370,0,6,3,1
01/02/18 20:00,000000001415,2,NE_OS,1,NorthEast,360,0,,14329,25,9,342,0,8,1,0
01/02/18 20:00,000000001415,3,SW,2,SouthWest,641,0,,15711,111,0,568,1,68,3,1
01/02/18 21:00,000000001415,1,NE_NS,1,NorthEast,293,0,,14705,31,12,270,0,4,5,2
01/02/18 21:00,000000001415,2,NE_OS,1,NorthEast,260,0,,16428,8,4,254,0,2,0,0
01/02/18 21:00,000000001415,3,SW,2,SouthWest,555,0,,16013,133,0,479,1,68,6,1
01/02/18 22:00,000000001415,1,NE_NS,1,NorthEast,267,0,,14740,22,10,248,0,5,1,3
01/02/18 22:00,000000001415,2,NE_OS,1,NorthEast,295,0,,15692,10,11,281,0,3,0,0
01/02/18 22:00,000000001415,3,SW,2,SouthWest,502,0,,16168,153,1,421,0,72,5,3
01/02/18 23:00,000000001415,1,NE_NS,1,NorthEast,163,0,,15228,55,3,149,0,4,5,2
01/02/18 23:00,000000001415,2,NE_OS,1,NorthEast,208,0,,16991,24,7,196,0,5,0,0
01/02/18 23:00,000000001415,3,SW,2,SouthWest,342,0,,16756,140,1,293,0,44,4,0
02/02/18 00:00,000000001415,1,NE_NS,1,NorthEast,104,0,,15286,48,6,92,0,2,3,1
02/02/18 00:00,000000001415,2,NE_OS,1,NorthEast,157,0,,15359,19,3,151,0,3,0,0
02/02/18 00:00,000000001415,3,SW,2,SouthWest,227,0,,17308,203,1,180,0,44,2,0
02/02/18 01:00,000000001415,1,NE_NS,1,NorthEast,46,0,,16298,0,3,43,0,0,0,0
02/02/18 01:00,000000001415,2,NE_OS,1,NorthEast,85,0,,15500,24,3,80,0,2,0,0
02/02/18 01:00,000000001415,3,SW,2,SouthWest,153,0,,17751,255,0,114,0,30,9,0
02/02/18 02:00,000000001415,1,NE_NS,1,NorthEast,32,0,,16754,219,0,25,0,4,3,0
02/02/18 02:00,000000001415,2,NE_OS,1,NorthEast,83,0,,17155,48,1,78,0,4,0,0
02/02/18 02:00,000000001415,3,SW,2,SouthWest,109,0,,18644,303,0,76,0,30,3,0
02/02/18 03:00,000000001415,1,NE_NS,1,NorthEast,39,0,,16439,77,2,34,0,1,2,0
02/02/18 03:00,000000001415,2,NE_OS,1,NorthEast,57,0,,17100,53,2,52,0,3,0,0
02/02/18 03:00,000000001415,3,SW,2,SouthWest,103,0,,18536,252,0,77,0,22,4,0
02/02/18 04:00,000000001415,1,NE_NS,1,NorthEast,50,0,,17206,140,0,43,0,7,0,0
02/02/18 04:00,000000001415,2,NE_OS,1,NorthEast,45,0,,17401,89,4,37,0,4,0,0
02/02/18 04:00,000000001415,3,SW,2,SouthWest,119,0,,18854,193,0,96,0,20,3,0
02/02/18 05:00,000000001415,1,NE_NS,1,NorthEast,105,0,,17119,114,3,90,0,11,1,0
02/02/18 05:00,000000001415,2,NE_OS,1,NorthEast,101,0,,18045,99,3,88,0,9,1,0
02/02/18 05:00,000000001415,3,SW,2,SouthWest,316,0,,19310,193,0,254,0,58,3,1
02/02/18 06:00,000000001415,1,NE_NS,1,NorthEast,329,0,,14777,106,6,286,1,28,7,1
02/02/18 06:00,000000001415,2,NE_OS,1,NorthEast,325,0,,15598,77,3,297,0,21,4,0
02/02/18 06:00,000000001415,3,SW,2,SouthWest,752,0,,16345,166,3,618,1,113,12,5
02/02/18 07:00,000000001415,1,NE_NS,1,NorthEast,731,0,,11943,71,8,670,0,39,13,1
02/02/18 07:00,000000001415,2,NE_OS,1,NorthEast,667,0,,12861,64,7,615,1,34,9,1
02/02/18 07:00,000000001415,3,SW,2,SouthWest,1294,0,,13149,115,8,1127,6,138,11,4
02/02/18 08:00,000000001415,1,NE_NS,1,NorthEast,872,0,,8552,96,12,770,1,65,19,2
02/02/18 08:00,000000001415,2,NE_OS,1,NorthEast,782,0,,7821,75,11,705,3,41,18,3
02/02/18 08:00,000000001415,3,SW,2,SouthWest,1280,0,,12428,152,2,1073,9,168,26,2
02/02/18 09:00,000000001415,1,NE_NS,1,NorthEast,675,0,,10398,127,10,576,0,68,18,0
02/02/18 09:00,000000001415,2,NE_OS,1,NorthEast,633,0,,10995,74,12,573,0,35,12,1
02/02/18 09:00,000000001415,3,SW,2,SouthWest,1007,0,,13872,201,2,802,0,181,21,1
02/02/18 10:00,000000001415,1,NE_NS,1,NorthEast,508,0,,13748,120,4,442,1,46,15,0
02/02/18 10:00,000000001415,2,NE_OS,1,NorthEast,448,0,,15135,74,13,401,0,31,2,1
02/02/18 10:00,000000001415,3,SW,2,SouthWest,887,0,,14792,231,0,678,1,181,24,2
02/02/18 11:00,000000001415,1,NE_NS,1,NorthEast,512,0,,14229,129,14,430,0,56,10,2
02/02/18 11:00,000000001415,2,NE_OS,1,NorthEast,437,0,,15538,69,7,400,0,27,3,0
02/02/18 11:00,000000001415,3,SW,2,SouthWest,915,0,,15047,224,4,703,2,180,25,1
02/02/18 12:00,000000001415,1,NE_NS,1,NorthEast,607,0,,13622,133,15,510,0,64,17,1
02/02/18 12:00,000000001415,2,NE_OS,1,NorthEast,466,0,,15489,49,12,431,0,19,4,0
02/02/18 12:00,000000001415,3,SW,2,SouthWest,1017,0,,14768,201,3,808,1,178,26,0
02/02/18 13:00,000000001415,1,NE_NS,1,NorthEast,651,0,,12824,103,8,570,0,52,15,4
02/02/18 13:00,000000001415,2,NE_OS,1,NorthEast,506,0,,14205,49,8,473,0,25,0,0
02/02/18 13:00,000000001415,3,SW,2,SouthWest,1079,0,,14482,177,6,877,3,170,21,2
02/02/18 14:00,000000001415,1,NE_NS,1,NorthEast,600,0,,13231,108,15,518,0,56,9,1
02/02/18 14:00,000000001415,2,NE_OS,1,NorthEast,568,0,,14105,62,19,514,0,32,3,0
02/02/18 14:00,000000001415,3,SW,2,SouthWest,1077,0,,14481,179,4,873,3,173,20,3
02/02/18 15:00,000000001415,1,NE_NS,1,NorthEast,646,0,,11633,104,11,562,1,52,15,5
02/02/18 15:00,000000001415,2,NE_OS,1,NorthEast,584,0,,13100,50,14,541,0,26,3,0
02/02/18 15:00,000000001415,3,SW,2,SouthWest,1162,0,,14658,168,4,960,1,168,27,2
02/02/18 16:00,000000001415,1,NE_NS,1,NorthEast,485,0,,6136,138,21,390,1,33,34,3
02/02/18 16:00,000000001415,2,NE_OS,1,NorthEast,738,0,,9810,51,4,691,1,30,8,4
02/02/18 16:00,000000001415,3,SW,2,SouthWest,1179,0,,12488,106,7,1043,4,106,19,0
02/02/18 17:00,000000001415,1,NE_NS,1,NorthEast,649,0,,9413,71,13,579,4,37,9,4
02/02/18 17:00,000000001415,2,NE_OS,1,NorthEast,615,0,,11077,49,12,566,1,26,4,4
02/02/18 17:00,000000001415,3,SW,2,SouthWest,1279,0,,12589,89,8,1145,9,107,7,2
02/02/18 18:00,000000001415,1,NE_NS,1,NorthEast,617,0,,12502,31,13,581,0,15,4,3
02/02/18 18:00,000000001415,2,NE_OS,1,NorthEast,553,0,,13435,13,10,534,1,7,0,1
02/02/18 18:00,000000001415,3,SW,2,SouthWest,1140,0,,13604,104,1,1016,3,111,8,1
02/02/18 19:00,000000001415,1,NE_NS,1,NorthEast,484,0,,13488,27,4,457,0,10,3,9
02/02/18 19:00,000000001415,2,NE_OS,1,NorthEast,451,0,,14511,18,7,436,0,8,0,0
02/02/18 19:00,000000001415,3,SW,2,SouthWest,826,0,,15129,91,2,747,0,65,10,2
02/02/18 20:00,000000001415,1,NE_NS,1,NorthEast,414,0,,14246,22,3,399,0,7,2,2
02/02/18 20:00,000000001415,2,NE_OS,1,NorthEast,379,0,,14732,5,13,362,0,2,0,2
02/02/18 20:00,000000001415,3,SW,2,SouthWest,678,0,,15536,125,1,587,2,85,0,3
02/02/18 21:00,000000001415,1,NE_NS,1,NorthEast,344,0,,13985,29,10,322,1,7,3,0
02/02/18 21:00,000000001415,2,NE_OS,1,NorthEast,368,0,,15166,11,7,356,0,4,0,1
02/02/18 21:00,000000001415,3,SW,2,SouthWest,577,0,,16215,135,1,497,0,70,8,1
02/02/18 22:00,000000001415,1,NE_NS,1,NorthEast,386,0,,14311,16,9,371,0,5,1,0
02/02/18 22:00,000000001415,2,NE_OS,1,NorthEast,320,0,,15320,22,4,309,0,6,1,0
02/02/18 22:00,000000001415,3,SW,2,SouthWest,471,0,,16237,138,1,403,0,62,3,2
02/02/18 23:00,000000001415,1,NE_NS,1,NorthEast,251,0,,14433,20,4,242,0,5,0,0
02/02/18 23:00,000000001415,2,NE_OS,1,NorthEast,292,0,,15422,14,6,282,0,4,0,0
02/02/18 23:00,000000001415,3,SW,2,SouthWest,515,0,,16161,136,1,443,1,65,5,0
03/02/18 00:00,000000001415,1,NE_NS,1,NorthEast,156,0,,15718,19,5,146,0,2,1,2
03/02/18 00:00,000000001415,2,NE_OS,1,NorthEast,226,0,,16000,13,6,217,0,3,0,0
03/02/18 00:00,000000001415,3,SW,2,SouthWest,354,0,,17104,133,1,306,0,47,0,0
03/02/18 01:00,000000001415,1,NE_NS,1,NorthEast,119,0,,15322,25,3,112,0,3,0,1
03/02/18 01:00,000000001415,2,NE_OS,1,NorthEast,196,0,,16284,5,7,188,0,0,1,0
03/02/18 01:00,000000001415,3,SW,2,SouthWest,279,0,,17540,143,0,239,0,37,3,0
03/02/18 02:00,000000001415,1,NE_NS,1,NorthEast,75,0,,15330,53,3,68,0,4,0,0
03/02/18 02:00,000000001415,2,NE_OS,1,NorthEast,209,0,,16377,19,3,201,0,4,0,1
03/02/18 02:00,000000001415,3,SW,2,SouthWest,264,0,,17934,205,0,210,0,54,0,0
03/02/18 03:00,000000001415,1,NE_NS,1,NorthEast,79,0,,15907,38,5,71,0,1,2,0
03/02/18 03:00,000000001415,2,NE_OS,1,NorthEast,196,0,,16644,31,9,181,0,6,0,0
03/02/18 03:00,000000001415,3,SW,2,SouthWest,256,0,,17678,160,0,214,1,39,2,0
03/02/18 04:00,000000001415,1,NE_NS,1,NorthEast,76,0,,15643,79,2,68,0,4,2,0
03/02/18 04:00,000000001415,2,NE_OS,1,NorthEast,141,0,,16818,21,4,133,1,3,0,0
03/02/18 04:00,000000001415,3,SW,2,SouthWest,217,0,,18093,175,0,179,0,36,2,0
03/02/18 05:00,000000001415,1,NE_NS,1,NorthEast,73,0,,16465,68,3,65,0,4,1,0
03/02/18 05:00,000000001415,2,NE_OS,1,NorthEast,110,0,,17328,36,5,101,0,4,0,0
03/02/18 05:00,000000001415,3,SW,2,SouthWest,190,0,,18488,232,0,145,0,41,3,1
03/02/18 06:00,000000001415,1,NE_NS,1,NorthEast,172,0,,16494,58,0,162,0,6,4,0
03/02/18 06:00,000000001415,2,NE_OS,1,NorthEast,99,0,,17854,40,2,93,0,4,0,0
03/02/18 06:00,000000001415,3,SW,2,SouthWest,323,0,,18092,167,0,268,0,51,3,1
03/02/18 07:00,000000001415,1,NE_NS,1,NorthEast,189,0,,16570,85,4,169,0,13,3,0
03/02/18 07:00,000000001415,2,NE_OS,1,NorthEast,150,0,,17143,40,5,139,0,6,0,0
03/02/18 07:00,000000001415,3,SW,2,SouthWest,451,0,,17156,173,0,369,1,73,5,3
03/02/18 08:00,000000001415,1,NE_NS,1,NorthEast,271,0,,15107,114,4,234,2,28,3,0
03/02/18 08:00,000000001415,2,NE_OS,1,NorthEast,262,0,,16319,50,9,239,0,13,0,1
03/02/18 08:00,000000001415,3,SW,2,SouthWest,590,0,,16720,147,2,496,1,75,12,4
03/02/18 09:00,000000001415,1,NE_NS,1,NorthEast,392,0,,14731,56,8,359,0,19,3,2
03/02/18 09:00,000000001415,2,NE_OS,1,NorthEast,382,0,,16078,42,6,359,0,16,0,1
03/02/18 09:00,000000001415,3,SW,2,SouthWest,681,0,,16380,144,0,577,4,93,5,2
03/02/18 10:00,000000001415,1,NE_NS,1,NorthEast,470,0,,14453,60,10,431,1,24,4,0
03/02/18 10:00,000000001415,2,NE_OS,1,NorthEast,442,0,,15759,48,4,414,2,19,2,1
03/02/18 10:00,000000001415,3,SW,2,SouthWest,927,0,,15579,131,2,799,4,109,12,1
03/02/18 11:00,000000001415,1,NE_NS,1,NorthEast,608,0,,13703,54,10,562,1,29,4,2
03/02/18 11:00,000000001415,2,NE_OS,1,NorthEast,545,0,,14820,26,10,521,0,14,0,0
03/02/18 11:00,000000001415,3,SW,2,SouthWest,1190,0,,14079,135,2,1021,5,154,7,1
03/02/18 12:00,000000001415,1,NE_NS,1,NorthEast,624,0,,12634,35,10,589,1,18,4,2
03/02/18 12:00,000000001415,2,NE_OS,1,NorthEast,684,0,,13832,29,17,645,1,19,1,1
03/02/18 12:00,000000001415,3,SW,2,SouthWest,1440,0,,12820,137,4,1230,8,176,21,1
03/02/18 13:00,000000001415,1,NE_NS,1,NorthEast,689,0,,13052,29,5,662,2,15,5,0
03/02/18 13:00,000000001415,2,NE_OS,1,NorthEast,677,0,,13805,22,15,647,0,13,2,0
03/02/18 13:00,000000001415,3,SW,2,SouthWest,1455,0,,12182,114,10,1270,8,152,14,0
03/02/18 14:00,000000001415,1,NE_NS,1,NorthEast,635,0,,12495,22,8,610,0,14,0,2
03/02/18 14:00,000000001415,2,NE_OS,1,NorthEast,771,0,,12932,14,12,746,0,10,1,1
03/02/18 14:00,000000001415,3,SW,2,SouthWest,1337,0,,10501,157,20,1090,16,182,28,0
03/02/18 15:00,000000001415,1,NE_NS,1,NorthEast,556,0,,14025,14,10,536,0,7,1,2
03/02/18 15:00,000000001415,2,NE_OS,1,NorthEast,434,0,,15383,9,10,419,0,4,0,1
03/02/18 15:00,000000001415,3,SW,2,SouthWest,920,0,,15525,110,0,809,6,94,7,4
03/02/18 16:00,000000001415,1,NE_NS,1,NorthEast,570,0,,13947,28,15,536,0,13,3,3
03/02/18 16:00,000000001415,2,NE_OS,1,NorthEast,526,0,,15028,10,17,503,0,5,0,1
03/02/18 16:00,000000001415,3,SW,2,SouthWest,949,0,,15059,106,4,837,5,92,9,1
03/02/18 17:00,000000001415,1,NE_NS,1,NorthEast,755,0,,7710,64,12,688,1,29,19,5
03/02/18 17:00,000000001415,2,NE_OS,1,NorthEast,904,0,,8579,50,9,831,6,34,11,13
03/02/18 17:00,000000001415,3,SW,2,SouthWest,813,0,,13067,107,7,715,2,79,8,1
03/02/18 18:00,000000001415,1,NE_NS,1,NorthEast,653,0,,6326,95,8,567,4,38,24,8
03/02/18 18:00,000000001415,2,NE_OS,1,NorthEast,791,0,,7058,87,10,704,2,56,13,6
03/02/18 18:00,000000001415,3,SW,2,SouthWest,998,0,,12782,133,5,851,7,124,9,1
03/02/18 19:00,000000001415,1,NE_NS,1,NorthEast,506,0,,12615,24,12,476,0,12,0,6
03/02/18 19:00,000000001415,2,NE_OS,1,NorthEast,564,0,,13507,27,6,540,2,14,1,1
03/02/18 19:00,000000001415,3,SW,2,SouthWest,845,0,,15103,130,5,724,2,105,5,3
03/02/18 20:00,000000001415,1,NE_NS,1,NorthEast,396,0,,13792,20,9,377,0,6,2,2
03/02/18 20:00,000000001415,2,NE_OS,1,NorthEast,413,0,,14906,19,8,396,0,8,0,1
03/02/18 20:00,000000001415,3,SW,2,SouthWest,660,0,,15609,132,1,571,0,84,3,1
03/02/18 21:00,000000001415,1,NE_NS,1,NorthEast,396,0,,13996,18,5,383,0,6,1,0
03/02/18 21:00,000000001415,2,NE_OS,1,NorthEast,424,0,,14994,26,8,404,0,10,1,1
03/02/18 21:00,000000001415,3,SW,2,SouthWest,693,0,,15907,126,3,601,1,85,2,1
03/02/18 22:00,000000001415,1,NE_NS,1,NorthEast,321,0,,14363,22,8,305,0,7,0,1
03/02/18 22:00,000000001415,2,NE_OS,1,NorthEast,432,0,,15186,12,12,415,0,4,1,0
03/02/18 22:00,000000001415,3,SW,2,SouthWest,666,0,,16529,150,1,563,1,97,3,1
03/02/18 23:00,000000001415,1,NE_NS,1,NorthEast,213,0,,14770,19,5,203,0,4,0,0
03/02/18 23:00,000000001415,2,NE_OS,1,NorthEast,316,0,,15804,16,4,306,0,5,0,1
03/02/18 23:00,000000001415,3,SW,2,SouthWest,540,0,,16518,172,3,440,2,87,6,2
04/02/18 00:00,000000001415,1,NE_NS,1,NorthEast,174,0,,14896,17,8,161,0,2,1,2
04/02/18 00:00,000000001415,2,NE_OS,1,NorthEast,305,0,,16278,7,8,295,0,2,0,0
